,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
209,2018-08-06 08:30:00,-375474008.65115845,-87537939.50971256,-36512869.42405181,-18105.15591838902,245735488.8393736
210,2018-08-06 08:45:00,-357110216.9661377,-87265796.24649051,-36654808.25697862,-14047.881654487688,263523460.2360537
211,2018-08-06 09:00:00,-316737486.3149536,-91541786.44926395,-34460070.30914478,-15447.129788264972,302005783.2417074
212,2018-08-06 09:15:00,-260265151.25254717,-86154139.58012111,-37236963.259760395,-14397.86069353482,354024080.4887107
213,2018-08-06 09:30:00,-209649492.7029242,-85711064.49956383,-37470288.99063863,-12867.5498412595,399309503.6519384
214,2018-08-06 09:45:00,-146083024.05841735,-85014366.2974014,-37835447.05617474,-12368.922739611811,459744375.0935
215,2018-08-06 10:45:00,94679708.13538505,-85878222.70839733,-37417130.95473902,5508.867094583164,687266133.6471974
216,2018-08-06 11:00:00,112002579.30164425,-114559698.5545727,-22668454.403544433,-5857.586387667274,701801961.3481537
217,2018-08-06 11:15:00,139433505.36635843,-100933900.35133529,-29679002.584779244,-8961.435839039674,725772640.189312
218,2018-08-06 11:30:00,152292888.41810778,-100642706.20133904,-29823782.2937335,915.0703001352116,742016332.1513441
219,2018-08-06 11:45:00,182012881.11179364,-95983326.64981028,-32229614.080217674,-2692.06424022744,768552549.8000576
220,2018-08-06 12:00:00,215520763.9592467,-105915713.27300598,-27125118.370240822,-7805.450740975767,796912356.7907588
221,2018-08-06 12:15:00,219286039.47235143,-86377597.07248777,-37173738.567847446,22412.75639007666,799726603.980563
222,2018-08-06 12:30:00,236132860.27242333,-93619893.24325928,-33450938.058999337,-9104.31061070962,812746051.2429006
223,2018-08-06 12:45:00,221656071.2344804,-108350317.67525178,-25873692.21003453,-10481.84472672485,803578205.8756348
224,2018-08-06 13:00:00,228103846.5521187,-106447777.70343347,-26852841.915806126,-11258.201755617112,808436229.0562083
225,2018-08-06 13:15:00,211425294.30971417,-86895211.14861175,-36906696.78136795,-1575.880022554642,793727595.6666057
226,2018-08-06 13:30:00,204790987.74605656,-93813708.89767951,-33347882.289976258,-11639.6338192998,785657953.6803893
227,2018-08-06 13:45:00,206537619.73093414,-95434236.04968745,-32514651.35029933,-8314.415857957852,789880161.9889416
228,2018-08-06 15:15:00,352767749.90464205,-98133415.47822745,-31142265.590915915,-15180.075504718872,925223079.0889244
229,2018-08-06 15:30:00,388473282.0897868,-129042901.78810546,-15249731.675112622,-26786.76653142059,957955674.8958392
230,2018-08-06 15:45:00,383333176.8143682,-114663205.54654391,-22644483.194235593,-15100.048252977558,955894405.8031082
231,2018-08-06 16:00:00,354008605.3360971,-119882580.60350335,-19957058.225670956,-17090.284755134944,930698134.0267627
232,2018-08-06 16:15:00,323415054.4848077,-98271969.25446045,-31067842.219167896,-10455.396903172901,899255129.4645295
233,2018-08-06 16:30:00,327819252.6972007,-105535233.06301838,-27332886.255001243,45767.842143612485,981785721.5068717
234,2018-08-06 16:45:00,305168034.3888437,-105345187.87676804,-27428181.118580237,47399.428641008104,958540613.3263812
235,2018-08-06 17:00:00,291399462.6321999,-110752167.94554274,-24645952.990101796,38469.49119652309,945510051.8248855
